"#Freq","#Power","#Lat","#Lon"
"88.100000","95.130000","19.533333333333335","-99.13333333333334"
"88.100000","10.000000","20.5","-100.81666666666666"
"88.100000","10.000000","18.883333333333333","-96.93333333333334"
"88.100000","10.000000","19.983333333333334","-102.28333333333333"
"88.100000","0.951300","19.533333333333335","-99.13333333333334"
"88.100000","0.951300","19.533333333333335","-99.13333333333334"
"88.300000","25.000000","14.9","-92.28333333333333"
"88.500000","25.000000","17.983333333333334","-94.51666666666667"
"88.500000","25.000000","19.2","-96.13333333333334"
"88.500000","10.000000","28.65","-106.05"
"88.500000","10.000000","18.9","-99.23333333333333"
"88.500000","3.000000","20.683333333333334","-101.35"
"88.500000","3.000000","22.15","-100.96666666666667"
"88.500000","2.747000","17.983333333333334","-92.91666666666667"
"88.500000","1.000000","32.5","-116.56666666666666"
"88.500000","0.500000","19.8","-99.1"
"88.500000","0.400000","32.46666666666667","-114.76666666666667"
"88.700000","25.000000","21.916666666666668","-102.26666666666667"
"88.700000","25.000000","24.8","-107.38333333333334"
"88.700000","6.000000","20.6","-100.38333333333334"
"88.700000","3.000000","18.116666666666667","-95.88333333333334"
"88.700000","1.150000","32.5","-117.06666666666666"
"88.700000","1.000000","25.566666666666666","-103.5"
"88.700000","0.350000","20.35","-102.0"
"88.900000","90.000000","19.35","-99.08333333333333"
"88.900000","25.000000","23.216666666666665","-106.41666666666667"
"88.900000","25.000000","25.433333333333334","-100.98333333333333"
"88.900000","15.000000","27.466666666666665","-99.5"
"88.900000","10.000000","21.116666666666667","-101.68333333333334"
"88.900000","3.000000","17.266666666666666","-97.68333333333334"
"88.900000","2.700000","18.633333333333333","-91.83333333333333"
"88.900000","1.000000","19.533333333333335","-96.91666666666667"
"88.900000","0.600000","31.85","-112.85"
"89.100000","50.030000","20.75","-103.23333333333333"
"89.100000","50.000000","26.0","-98.13333333333334"
"89.100000","25.000000","19.2","-96.13333333333334"
"89.100000","25.000000","22.783333333333335","-102.58333333333333"
"89.100000","6.000000","20.516666666666666","-100.81666666666666"
"89.100000","6.000000","31.883333333333333","-116.63333333333334"
"89.100000","3.000000","30.533333333333335","-111.11666666666666"
"89.300000","50.000000","19.183333333333334","-98.0"
"89.300000","50.000000","17.983333333333334","-92.91666666666667"
"89.300000","36.000000","19.233333333333334","-103.73333333333333"
"89.300000","25.000000","25.766666666666666","-108.96666666666667"
"89.300000","25.000000","23.65","-100.65"
"89.300000","25.000000","19.7","-101.11666666666666"
"89.300000","12.500000","22.216666666666665","-97.85"
"89.300000","10.000000","28.65","-106.05"
"89.300000","9.520000","20.933333333333334","-89.56666666666666"
"89.300000","3.950000","27.5","-109.9"
"89.300000","1.000000","25.05","-105.41666666666667"
"89.300000","1.000000","20.05","-99.35"
"89.300000","0.746000","19.516666666666666","-98.88333333333334"
"89.500000","100.000000","25.583333333333332","-97.75"
"89.500000","97.000000","16.083333333333332","-93.75"
"89.500000","60.000000","18.9","-97.0"
"89.500000","50.580000","20.633333333333333","-105.23333333333333"
"89.500000","25.000000","24.8","-107.38333333333334"
"89.500000","15.000000","32.46666666666667","-114.76666666666667"
"89.500000","3.000000","26.483333333333334","-100.16666666666667"
"89.500000","3.000000","25.533333333333335","-103.36666666666666"
"89.500000","2.440000","25.8","-99.16666666666667"
"89.500000","0.550000","20.6","-100.41666666666667"
"89.700000","100.000000","19.533333333333335","-99.13333333333334"
"89.700000","50.000000","17.066666666666666","-96.73333333333333"
"89.700000","25.000000","16.85","-99.91666666666667"
"89.700000","25.000000","29.066666666666666","-110.96666666666667"
"89.700000","24.760000","19.05","-104.33333333333333"
"89.700000","6.000000","20.033333333333335","-100.73333333333333"
"89.700000","6.000000","18.266666666666666","-93.21666666666667"
"89.700000","3.000000","23.216666666666665","-106.41666666666667"
"89.700000","3.000000","23.416666666666668","-100.11666666666666"
"89.700000","3.000000","25.416666666666668","-101.0"
"89.700000","3.000000","19.416666666666668","-102.05"
"89.700000","1.000000","25.733333333333334","-100.31666666666666"
"89.700000","0.500000","18.816666666666666","-98.93333333333334"
"89.700000","0.170000","18.466666666666665","-95.3"
"89.900000","25.000000","16.733333333333334","-93.71666666666667"
"89.900000","25.000000","20.066666666666666","-97.05"
"89.900000","14.220000","20.683333333333334","-103.38333333333334"
"89.900000","13.000000","32.63333333333333","-115.46666666666667"
"89.900000","10.000000","20.466666666666665","-86.9"
"89.900000","6.000000","20.516666666666666","-100.81666666666666"
"89.900000","0.254000","16.116666666666667","-92.05"
"90.100000","100.000000","25.716666666666665","-99.71666666666667"
"90.100000","100.000000","26.05","-98.4"
"90.100000","29.760000","19.233333333333334","-99.63333333333334"
"90.100000","25.000000","25.766666666666666","-108.96666666666667"
"90.100000","25.000000","22.15","-100.96666666666667"
"90.100000","25.000000","21.783333333333335","-103.31666666666666"
"90.100000","23.880000","22.233333333333334","-97.86666666666666"
"90.100000","19.740000","19.05","-98.21666666666667"
"90.100000","19.640000","28.633333333333333","-106.06666666666666"
"90.100000","15.000000","17.983333333333334","-92.91666666666667"
"90.100000","10.000000","20.083333333333332","-98.36666666666666"
"90.100000","10.000000","19.2","-96.13333333333334"
"90.100000","9.800000","24.133333333333333","-110.28333333333333"
"90.100000","1.964000","27.966666666666665","-114.03333333333333"
"90.100000","0.115000","30.166666666666668","-111.11666666666666"
"90.300000","93.120000","32.5","-117.03333333333333"
"90.300000","37.960000","21.166666666666668","-101.71666666666667"
"90.300000","25.000000","23.166666666666668","-102.88333333333334"
"90.300000","25.000000","25.55","-103.5"
