Poblacion,Estado,Tipo,Concesionario/Permisionario,Distintivo,Banda,Frecuencia (kHz),Potencia Diurna y Nocturna,Inicio,Fin,Latitud,Longitud,Altitud,
MORELIA,MICH.,(C),CARLOS DE JESÚS QUIÑONES ARMENDÁRIZ,XELIA,AM,1140,5 -D  0.5 -N,24/02/08,23/02/20,194208,1011108,1920,
MORELIA,MICH.,(C),"LARIS HERMANOS, S.A.",XELQ,AM,570,2 -D  1.7 -N,12/11/10,11/11/20,194208,1011108,1920,
MORELIA,MICH.,(P),GOBIERNO DEL ESTADO DE MICHOACÁN,XEREL,AM,1550,1 -D  1 -N,29/04/11,28/04/23,194208,1011108,1920,
SAHUAYO DE MORELOS,MICH.,(C),JOSÉ RAÚL NAVA BECERRA,XERNB,AM,1450,1 -D  1 -N,14/03/08,13/03/20,200327,1024326,1543,
URUAPAN,MICH.,(C),"XEFN, S.A.",XEFN,AM,1130,1 -D  0.1 -N,27/04/03,26/04/15,192510,1020330,1620,
URUAPAN,MICH.,(C),"XEIP-AM, S.A. DE C.V.",XEIP,AM,1050,1 -D  1 -N,03/08/09,02/08/21,192510,1020330,1620,
URUAPAN,MICH.,(C),"XEUF, S.A.",XEUF,AM,610,5 -D  1 -N,14/07/06,13/07/18,192510,1020330,1620,
ZITÁCUARO,MICH.,(C),"RADIO ZITÁCUARO, S.A.",XELX,AM,700,10 -D  0.5 -N,04/07/04,03/07/16,193115,1002430,2119,
CUAUTLA,MOR.,(P),GOBIERNO DEL ESTADO DE MORELOS,XECTAM,AM,1390,1 -D  0.25 -N,26/06/13,25/06/25,184844,985721,1294,
JARRETADERAS,NAY.,(C),LUIS CARLOS MENDIOLA CODINA,XECJU,AM,590,10 -D  5 -N,03/04/05,02/04/17,204133,1051626,10,
JESÚS MARÍA,NAY.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEJMN,AM,750,10 -D  N.A. ,15/05/91,N.D.,221503,1043102,422,
TECUALA,NAY.,(C),"COMUNICACIÓN INTEGRAL DE NAYARIT, S.A. DE C.V.",XETD,AM,570,5 -D  1 -N,04/07/04,03/07/16,222350,1052726,10,
TEPIC,NAY.,(C),"XETEY-AM, S.A. DE C.V.",XETEY,AM,840,1 -D  0.25 -N,18/07/05,17/07/17,213059,1045339,920,
TEPIC,NAY.,(P),GOBIERNO DEL ESTADO DE NAYARIT,XETNC,AM,550,2.5 -D  0.15 -N,15/11/00,R,213059,1045339,920,
XALISCO,NAY.,(P)*,"PLENITUD DE VIDA, A.C.",XEPVI,AM,1280,1 -D  1 -N,08/03/10,08/03/22,212639,1045406,995,
APODACA,N.L.,(C),"RADIO FIESTA, S.A. DE C.V.",XEBJB,AM,570,5 -D  0.5 -N,04/01/08,03/01/18,254654,1001120,430,
APODACA,N.L.,(C),"ORGANIZACIÓN MEXICANA DE RADIO, S.A. DE C.V.",XEMR,AM,1140,50 -D  50 -N,03/07/04,02/07/16,254654,1001120,430,
ESCOBEDO,N.L.,(P),GOBIERNO DEL ESTADO DE NUEVO LEÓN,XEQI,AM,1510,10 -D  N.A,21/07/05,R,254831,1001937,500,
GUADALUPE,N.L.,(C),"FORMULA RADIOFÓNICA, S.A. DE C.V.",XEACH,AM,770,25 -D  1 -N,18/01/04,17/01/16,254045,1001406,480,
GUADALUPE,N.L.,(C),"RADIO CENTINELA, S.A. DE C.V.",XEAU,AM,1090,5 -D  0.5 -N,04/07/04,03/07/16,254045,1001406,480,
GUADALUPE,N.L.,(C),"RADIO INFORMATIVA, S.A. DE C.V.",XEAW,AM,1280,10 -D  1 -N,04/07/04,03/07/16,254045,1001406,480,
GUADALUPE,N.L.,(C),"CANAL 1190, S.A. DE C.V.",XECT,AM,1190,10 -D  0.1 -N,20/08/13,19/08/25,254045,1001406,480,
GUADALUPE,N.L.,(C),"EMISORAS INCORPORADAS DE MONTERREY, S.A.",XEFB,AM,630,10 -D  10 -N,04/07/04,03/07/16,254045,1001406,480,
GUADALUPE,N.L.,(C),"LA VOZ DE NORTEAMÉRICA, S.A. DE C.V.",XEG,AM,1050,100 -D  100 -N,03/07/04,02/07/16,254045,1001406,480,
GUADALUPE,N.L.,(C),"TRANSMISORA REGIONAL RADIO FORMULA, S.A. DE C.V.",XEIZ,AM,1230,10 -D  1 -N,04/07/04,03/07/16,254045,1001406,480,
GUADALUPE,N.L.,(C),"RADIO CONTENIDOS, S.A. DE C.V.",XEJM,AM,1450,5 -D  1 -N,04/07/04,03/07/16,254045,1001406,480,
GUADALUPE,N.L.,(C),"FORMULA RADIOFÓNICA, S.A. DE C.V.",XEMON,AM,1370,10 -D  0.4 -N,29/11/03,28/11/15,254045,1001406,480,
GUADALUPE,N.L.,(C),"LA VOZ DE LINARES, S.A.",XENL,AM,860,5 -D  1.5 -N,04/07/04,03/07/16,254045,1001406,480,
GUADALUPE,N.L.,(C),"RADIO INTEGRAL, S.A. DE C.V.",XEOK,AM,900,10 -D  2.5 -N,20/06/08,19/06/20,254045,1001406,480,
GUADALUPE,N.L.,(C),"LA VOZ DE LINARES, S.A.",XERG,AM,690,10 -D  1 -N,04/07/04,03/07/16,254045,1001406,480,
GUADALUPE,N.L.,(C),"TRANSMISORA MONTERREY, S.A. DE C.V.",XETKR,AM,1480,10 -D  1 -N,04/07/04,03/07/16,254045,1001406,480,
GUADALUPE,N.L.,(C),"CADENA RADIODIFUSORA MEXICANA, S.A. DE C.V.",XEWA,AM,540,1.5 -D  1 -N,04/07/04,03/07/16,254045,1001406,480,
LINARES,N.L.,(C),"LA VOZ DE LINARES, S.A.",XELN,AM,830,5 -D  0.25 -N,04/07/04,03/07/16,245136,993400,350,
MONTERREY,N.L.,(C),"PROFESIONALES DE LA RADIO, S.A. DE C.V.",XENV,AM,1340,1 -D  1 -N,04/07/04,03/07/16,254017,1001831,530,
MONTERREY,N.L.,(C),"RADIO RED, S.A. DE C.V.",XESTN,AM,1540,5 -D  0.5 -N,29/11/03,28/11/15,254017,1001831,530,
OJO DE AGUA,N.L.,(C),"AUDIO PUBLICIDAD, S.A. DE C.V.",XEDD,AM,800,10 -D  2.5 -N,18/01/13,17/01/25,251212,994541,360,
